id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors
387	3061952	"['Yu-yu Ren', 'Lauren G Koch', 'Steven L Britton', 'Nathan R Qi', 'Mary K Treutelaar', 'Charles F Burant', 'Jun Z Li']"	bioRxiv	article	10.1101/013706	1.5	2015-01-13T00:00:00+00:00	2015	1	5	2	0	0.714285714	0.285714286	0	7	male	0.95	male	0.9	firstlast	"Yu-yu Ren, Lauren Koch, Steven Britton, Nathan Qi, Mary Treutelaar, Charles Burant, Jun Li"
2021	3096387	"['Maria Botcharova', 'Luc Berthouze', 'Matthew J Brookes', 'Gareth R Barnes', 'Simon F Farmer']"	bioRxiv	article	10.1101/014159	1.75	2015-01-22T00:00:00+00:00	2015	1	4	1	0	0.8	0.2	0	5	female	0.98	male	0.98	firstlast	"Maria Botcharova, Luc Berthouze, Matthew Brookes, Gareth Barnes, Simon Farmer"
3361	4623150	"['Marie Tolkiehn', 'Simon Schultz']"	bioRxiv	article	10.1101/029108	0.75	2015-10-14T00:00:00+00:00	2015	10	1	1	0	0.5	0.5	0	2	female	0.98	male	0.98	firstlast	"Marie Tolkiehn, Simon Schultz"
3486	27703499	['Sudhir Varma']	bioRxiv	article	10.1101/202952	3.5	2017-10-20T00:00:00+00:00	2017	10	1	0	0	1	0	0	1	male	1	male	1	firstlast	Sudhir Varma
3535	10223175	"['Arjun S Adhikari', 'Kristina B Kooiker', 'Chao Liu', 'Saswata S Sarkar', 'Daniel Bernstein', 'James A Spudich', 'Kathleen M Ruppel']"	bioRxiv	article	10.1101/067066	2	2016-08-02T00:00:00+00:00	2016	8	5	2	0	0.714285714	0.285714286	0	7	male	0.99	female	0.98	firstlast	"Arjun Adhikari, Kristina Kooiker, Chao Liu, Saswata Sarkar, Daniel Bernstein, James Spudich, Kathleen Ruppel"
5493	19773169	"['William Conway', 'Won-Ki Cho', 'Namrata Jayanth', 'Susan Mullen', 'Ibrahim I Cissé']"	bioRxiv	article	10.1101/133082	10.05	2017-05-01T00:00:00+00:00	2017	5	3	2	0	0.6	0.4	0	5	male	0.99	male	0.97	firstlast	"William Conway, Won-Ki Cho, Namrata Jayanth, Susan Mullen, Ibrahim Cissé"
6364	31774800	"['Matt Bawn', 'Justin Bradley', 'Fraser MacMillan']"	bioRxiv	article	10.1101/248054	0.75	2018-01-16T00:00:00+00:00	2018	1	3	0	0	1	0	0	3	male	0.99	male	0.97	firstlast	"Matt Bawn, Justin Bradley, Fraser MacMillan"
9715	42423198	"['Eloise Bertiaux', 'Adeline Mallet', 'Cecile Fort', 'Thierry Blisnick', 'Serge Bonnefoy', 'Jamin Jung', 'Moara Lemos', 'Sergio Marco', 'Sue Vaughan', 'Sylvain Trepout', 'Jean-Yves Tinevez', 'Philippe Bastin']"	bioRxiv	article	10.1101/329300	8.55	2018-05-23T00:00:00+00:00	2018	5	7	5	0	0.583333333	0.416666667	0	12	female	0.97	male	0.99	firstlast	"Eloise Bertiaux, Adeline Mallet, Cecile Fort, Thierry Blisnick, Serge Bonnefoy, Jamin Jung, Moara Lemos, Sergio Marco, Sue Vaughan, Sylvain Trepout, Jean-Yves Tinevez, Philippe Bastin"
10051	10914020	"['Iain Johnston', 'Nick Jones']"	bioRxiv	article	10.1101/072363	14.442	2016-08-30T00:00:00+00:00	2016	8	2	0	0	1	0	0	2	male	0.99	male	0.98	firstlast	"Iain Johnston, Nick Jones"
10108	18252210	"['Patricia Brasil', 'Mariano Gustavo Zalis', 'Anielle de Pina-Costa', 'Andre Machado Siqueira', 'Cesare Bianco Junior', 'Sidnei Silva', 'Andre Luiz Lisboa Areas', 'Marcelo Pelajo-Machado', 'Denise A M de Alvarenga', 'Ana Carolina Faria da Silva Santelli', 'Hermano Gomes Albuquerque', 'Pedro Cravo', 'Flipe V S de Abreu', 'Cassio Leonel Peterka', 'Graziela Maria Zanini', 'Martha C Suarez-Mutis', 'Alcides Pissinatti', 'Ricardo Lourenco-de-Oliveira', 'Cristiana F A de Brito', 'Maria de Fatima Ferreira-da-Cruz', 'Richard Culleton', 'Claudio Tadeu Daniel-Ribeiro']"	bioRxiv	article	10.1101/122127	48.3	2017-03-29T00:00:00+00:00	2017	3	15	7	0	0.681818182	0.318181818	0	22	female	0.98	male	0.99	firstlast	"Patricia Brasil, Mariano Gustavo, Anielle dePina-Costa, Andre Machado, Cesare Bianco, Sidnei Silva, Andre Luiz, Marcelo Pelajo-Machado, Denise deAlvarenga, Ana Carolina, Hermano Gomes, Pedro Cravo, Flipe deAbreu, Cassio Leonel, Graziela Maria, Martha Suarez-Mutis, Alcides Pissinatti, Ricardo Lourenco-de-Oliveira, Cristiana deBrito, Maria deFatima, Richard Culleton, Claudio Tadeu"
